Zn Content (wt. %),Co Cotent (wt. %),Fe Cotent (wt. %),N Content (at. %),O Content (at. %),S Content (at. %),Pyridinic Ratio,Pyrrolic Ratio,Graphitic Ratio,Oxidized Ratio,Content of Pyridinic Species (at. %),Content of Pyrrolic Species (at. %),Content of Graphitic Species (at. %),Content of Oxidized Species (at. %),Raman ID/IG Ratio,BET Surface Area (m2 g-1),Micropore Ratio,Mesopore Ratio,Catalyst Loading on RDE/RRDE(mg cm-2),Fe Precursor Ratio,Zn Precursor Ratio,2-Methylimidazole Precursor Ratio,Additive (Other) Precursor Ratio,ZIF Preparation Temperature (¡æ),ZIF Preparation Time (h),One-Pot Method,Post-Adsorb Method,Carbon-Derivative Adsorb Method,Pyrolysis Temperature (¡æ),Pyrolysis Time (h),Temperature Rising Rate (¡æ min-1),Seconde Pyrolysis,Acid Wash,Half Wave Potential in Acid Condition (vs. RHE),HW_0.78,HW_0.8,HW_0.82,Rotating Speed (rpm),PYMT_0.01,PYMT_0.02,PYMT_0.03
0,0,0.01,0.0551,0.083117685,0,0.509811113,0.093526499,0.303135889,0.093526499,0.028090592,0.00515331,0.016702787,0.00515331,0.986067737,1255,0.36408,0.63592,0.5,0.001,0.069132337,0.930867663,0,25,24,0,0,1,950,3,5,0,1,0.78,1,0,0,1600,1,1,0
0,0,0,0.022,0.011,0,0.42,0.01,0.48,0.1,0.00924,0.00022,0.01056,0.0022,1.38,699,0.447,0.384,0.8,0,0.3125,0.625,0,120,24,1,0,0,1100,1,16.81048918,0,0,0.675,0,0,0,900,0,0,0
0,0,0,0.022,0.011,0,0.352882704,0.01,0.551689861,0.095427435,0.007763419,0.00022,0.012137177,0.002099404,1.34,821,0.443,0.355,0.8,0,0.3125,0.625,0,120,24,1,0,0,1100,1,15.03618089,0,1,0.654,0,0,0,900,0,0,0
0,0,0,0.013,0.011,0,0.301204819,0.01,0.602409639,0.096385542,0.003915663,0.00013,0.007831325,0.001253012,1.28,658,0.21283,0.52152,0.8,0,0.238095238,0.476190476,0.238095238,120,24,0,0,1,1100,1,10.80735591,0,1,0.8,1,1,0,900,0,0,0
0.0125,0.0252,0,0.0311,0.1664,0,0.663987138,0.026045016,0.271061093,0.038906752,0.02065,0.00081,0.00843,0.00121,1.02,1539,0,0.55081,0.493627396,0,0.086206897,0.907441016,0.001814882,40,24,1,0,0,900,3,5,0,0,0.78,1,0,0,1600,1,1,0
0,0.01923348,0,0.057492343,0.097165031,0,0.440250943,0.45635012,0.103398937,0.01,0.025311058,0.026236638,0.005944647,0.000574923,0.98,1037,1,0,0.58,0,0.182761854,0.803442272,0,25,0.25,1,0,0,1000,2,5,0,0,0.72,0,0,0,1600,1,1,0
0,0.0117,0.0093,0.09069,0.130509972,0,0.25529,0.52344,0.22127,0.01,0.02315225,0.047470774,0.020066976,0.0009069,1.082694104,858.9389896,0.36623287,0.588408778,1.095,0.14247619,0.14247619,0.572571429,0,25,6,1,0,0,900,2,5,1,0,0.863,1,1,1,1600,1,1,0
0,0,0.03,0.054166792,0.085981497,0,0.42,0.18,0.175,0.225,0.022750053,0.009750023,0.009479189,0.012187528,1.26,1264.9,0.91894,0.08106,0.4,0.000954404,0.121609556,0.87743604,0,220,18,1,0,0,1000,2,10,0,0,0.805,1,1,0,1600,1,1,0
0,0,0.03,0.05014993,0.091016654,0,0.363636364,0.202020202,0.181818182,0.252525253,0.018236338,0.010131299,0.009118169,0.012664124,1.398073159,879.73393,0.394126656,0.561560728,0.4,0.00326775,0.23279029,0.763941961,0,25,24,0,1,0,1000,2,10,0,0,0.76,0,0,0,1600,1,0,0
0,0,0.0317,0.0657,0.053592308,0,0.532724505,0.080669711,0.316590563,0.070015221,0.035,0.0053,0.0208,0.0046,1.03,754,0,0.20057,0.5,0.048211364,0.043780542,0.634566493,0.321652965,25,24,0,1,0,950,3,2,0,1,0.78,1,0,0,1600,1,1,1
0.0258,0,0.0147,0.0454,0.0244,0,0.248017621,0.01,0.453964758,0.298017621,0.01126,0.000454,0.02061,0.01353,2.38,757.37,0.2,0.8,0.592286283,0.006537533,0.170940171,0.829059829,0,25,24,1,0,0,1000,2,19.73993576,0,0,0.8,1,1,0,1600,1,0,0
0.0247,0,0.0146,0.0535,0.0287,0,0.241448692,0.01,0.442655936,0.315895372,0.012917505,0.000535,0.023682093,0.016900402,1.836319817,1483.2,0.8,0.2,0.637771741,0.006389784,0.170940171,0.829059829,0,25,24,1,0,0,1000,2,20.76065771,0,0,0.72,0,0,0,1600,1,0,0
0,0.042,0,0.061,0.021,0,0.376237624,0.01,0.440594059,0.183168317,0.022950495,0.00061,0.026876238,0.011173267,1.44,324,0.52,0.35,0.8,0.076923077,0.173076923,0.75,0,60,0.5,1,0,0,900,3,30,0,1,0.79,1,0,0,900,1,1,0
0,0.048,0,0.074,0.065,0,0.453,0.01,0.412,0.135,0.033522,0.00074,0.030488,0.00999,1.49,479,0.65,0.16,0.8,0.072111051,0.162249865,0.703082747,0.062556337,60,0.5,1,0,0,900,3,30,0,1,0.81,1,1,0,900,1,1,1
0,0.05636,0,0.048,0.055,0,0.432432432,0.01,0.44044044,0.127127127,0.020756757,0.00048,0.021141141,0.006102102,1.5,500,0.71,0.07,0.8,0.073072707,0.164413592,0.712458897,0.050054805,60,0.5,1,0,0,900,3,30,0,1,0.82,1,1,1,900,1,1,0
0,0.05314,0,0.056,0.073,0,0.445362718,0.01,0.330578512,0.22405877,0.024940312,0.00056,0.018512397,0.012547291,1.48,426,0.27,0.13,0.8,0.076886112,0.172993753,0.749639596,0.000480538,60,0.5,1,0,0,900,3,30,0,1,0.82,1,1,1,900,1,1,0
0.024,0.062,0,0.091,0.024,0,0.479442489,0.01,0.496558309,0.023999202,0.043629266,0.00091,0.045186806,0.002183927,1.52,825,0.94,0.01,0.8,0.07680639,0.172814378,0.748862305,0.001516926,60,0.5,1,0,0,900,3,30,0,1,0.84,1,1,1,900,1,1,1
0,0,0.03,0.0578,0.054666539,0,0.407279029,0.022530329,0.551126516,0.019064125,0.023540728,0.001302253,0.031855113,0.001101906,1.03,1021,0.20475,0.61965,0.6,0.003557105,0.124498671,0.871944225,0,25,24,0,1,0,1000,2,5,0,1,0.8,1,1,0,1600,1,1,0
0.01,0,0.021,0.045,0.056149317,0,0.596546311,0.141287284,0.050235479,0.211930926,0.026844584,0.006357928,0.002260597,0.009536892,0.84,640,0.84429,0,0.8,0.002850201,0.190013368,0.807136431,0,60,24,1,0,0,1100,1,4.660167225,0,0,0.88,1,1,1,900,1,1,0
0,0.043,0,0.0517,0.041,0,0.513618677,0.194552529,0.291828794,0.01,0.026554086,0.010058366,0.015087549,0.000517,1.25,830,0.45982,0.4936,0.4,0,0.141339492,0.84295612,0,25,24,1,0,0,900,1,5,0,0,0.79,1,0,0,1600,1,1,0
