iter	Passed	Remaining
0	0	127
1	1	118
2	1	111
3	2	117
4	3	123
5	3	116
6	4	112
7	4	108
8	5	106
9	5	103
10	5	102
11	6	99
12	6	97
13	7	96
14	7	95
15	8	93
16	8	91
17	8	90
18	9	89
19	9	87
20	10	86
21	10	85
22	10	84
23	11	83
24	11	82
25	12	81
26	12	81
27	13	80
28	13	79
29	13	78
30	14	77
31	14	77
32	15	76
33	15	75
34	15	74
35	16	74
36	16	73
37	17	72
38	17	71
39	17	71
40	18	70
41	18	70
42	19	70
43	19	70
44	20	69
45	20	69
46	21	68
47	21	68
48	21	67
49	22	67
50	22	66
51	23	66
52	23	66
53	24	65
54	24	65
55	25	64
56	25	64
57	26	63
58	26	63
59	26	62
60	27	62
61	27	61
62	28	61
63	28	60
64	28	60
65	29	59
66	29	59
67	30	58
68	30	58
69	31	57
70	31	57
71	31	56
72	32	56
73	32	55
74	33	55
75	33	55
76	34	54
77	34	54
78	34	53
79	35	53
80	35	52
81	36	52
82	36	51
83	37	51
84	37	50
85	37	50
86	38	49
87	38	49
88	39	48
89	39	48
90	39	47
91	40	47
92	40	46
93	41	46
94	41	45
95	41	45
96	42	44
97	42	44
98	43	44
99	43	43
100	43	43
101	44	42
102	44	42
103	45	41
104	45	41
105	46	40
106	46	40
107	46	39
108	47	39
109	47	39
110	48	38
111	48	38
112	49	37
113	49	37
114	49	36
115	50	36
116	50	36
117	51	35
118	52	35
119	52	35
120	53	34
121	53	34
122	54	33
123	54	33
124	55	33
125	55	32
126	56	32
127	56	31
128	57	31
129	58	31
130	58	30
131	59	30
132	59	30
133	60	29
