iter	Passed	Remaining
0	1	310
1	2	233
2	3	202
3	3	188
4	4	183
5	5	185
6	6	179
7	7	179
8	8	173
9	9	171
10	9	167
11	10	165
12	11	160
13	11	158
14	12	155
15	13	156
16	14	154
17	15	153
18	16	153
19	17	154
20	18	154
21	18	153
22	19	153
23	21	154
24	21	152
25	22	151
26	23	149
27	24	148
28	24	146
29	25	145
30	26	143
31	27	142
32	27	140
33	28	139
34	29	139
35	30	138
36	31	137
37	32	136
38	32	135
39	33	135
40	34	135
41	36	137
42	37	136
43	38	135
44	38	133
45	39	132
46	40	131
47	40	129
48	41	128
49	42	127
50	43	126
51	43	124
52	44	123
53	45	122
54	46	121
55	47	121
56	47	120
57	48	119
58	49	118
59	50	116
60	50	116
61	51	115
62	52	114
63	53	113
64	54	112
65	55	111
66	55	111
67	56	110
68	57	109
69	58	108
70	59	107
71	59	106
72	60	105
73	61	104
74	62	103
75	63	102
76	63	101
77	64	101
78	65	101
79	66	100
80	67	99
81	68	98
82	69	97
83	69	96
84	70	95
85	71	94
86	72	93
87	72	92
88	73	91
89	74	90
90	75	90
91	76	89
92	77	89
93	78	88
94	78	87
95	79	86
96	81	86
97	81	85
98	82	84
99	83	83
100	84	82
101	84	81
102	85	80
103	86	79
104	87	78
105	87	77
106	88	76
107	89	75
108	89	75
109	90	74
110	91	73
111	92	72
112	93	71
113	94	70
114	94	70
115	95	69
116	97	68
117	97	68
118	98	67
119	99	66
120	100	65
121	101	64
122	101	63
123	102	62
124	103	62
125	104	61
126	104	60
127	105	59
128	106	58
129	107	57
130	108	56
131	109	56
132	110	55
133	111	54
134	112	54
135	113	53
136	114	52
137	114	51
138	115	50
139	116	49
140	117	49
141	117	48
142	118	47
143	119	46
144	119	45
145	120	44
146	121	43
147	121	42
148	122	41
149	123	41
150	124	40
151	125	39
152	126	38
153	127	38
154	128	37
155	128	36
156	129	35
157	130	34
158	131	33
159	132	33
160	133	32
161	133	31
162	134	30
163	135	29
164	136	29
165	137	28
166	138	27
167	138	26
168	139	25
169	140	24
170	141	23
171	142	23
172	142	22
173	143	21
174	144	20
175	145	19
176	145	18
177	146	18
178	147	17
179	147	16
180	148	15
181	149	14
182	150	13
183	150	13
184	151	12
185	152	11
186	152	10
187	153	9
188	154	8
189	155	8
190	156	7
191	157	6
192	157	5
193	158	4
194	159	4
195	160	3
196	161	2
197	161	1
198	162	0
199	163	0
