iter	Passed	Remaining
0	3	2501
1	5	2210
2	7	2065
3	10	1993
4	12	1983
5	14	1976
6	17	1953
7	19	1924
8	21	1907
9	24	1897
10	26	1897
11	29	1912
12	31	1929
13	34	1914
14	36	1906
15	38	1897
16	41	1888
17	43	1885
18	46	1893
19	48	1893
20	50	1890
21	53	1884
22	55	1883
23	58	1876
24	60	1878
25	63	1888
26	65	1873
27	68	1881
28	70	1882
29	73	1881
30	76	1885
31	78	1890
32	81	1891
33	83	1886
34	86	1886
35	88	1881
36	91	1879
37	93	1880
38	96	1875
39	98	1877
40	101	1876
41	104	1880
42	106	1879
43	109	1884
44	112	1880
45	112	1850
46	115	1844
47	117	1844
48	120	1839
49	122	1835
50	124	1831
51	127	1829
52	129	1825
53	131	1820
54	134	1823
55	136	1818
56	139	1819
57	142	1823
58	145	1825
59	147	1816
60	150	1818
61	153	1823
62	155	1821
63	158	1821
64	161	1822
65	163	1820
66	166	1822
67	169	1823
68	172	1828
69	175	1833
70	178	1832
71	181	1830
72	183	1830
73	186	1828
74	189	1832
75	192	1835
76	193	1815
77	195	1812
78	198	1810
79	200	1806
80	203	1805
81	205	1801
82	208	1796
83	210	1793
84	212	1789
85	215	1787
86	217	1786
87	220	1785
88	223	1783
89	226	1785
90	228	1783
91	231	1779
92	233	1776
93	236	1776
94	238	1772
95	241	1768
96	244	1769
97	246	1765
98	248	1762
99	251	1761
100	254	1760
101	257	1762
102	260	1760
103	262	1757
104	265	1756
105	267	1753
106	270	1749
107	273	1750
108	276	1751
109	278	1747
110	280	1744
111	284	1745
112	286	1741
113	289	1739
114	291	1737
115	294	1735
116	296	1733
117	299	1732
118	302	1729
119	304	1726
120	307	1722
121	309	1719
122	312	1718
123	314	1714
124	316	1711
125	319	1709
126	320	1699
127	323	1698
128	325	1695
129	328	1693
130	330	1689
131	333	1686
132	335	1682
133	338	1679
134	340	1677
135	342	1673
136	345	1669
137	347	1665
138	349	1662
139	351	1658
140	354	1654
141	356	1651
142	358	1649
143	361	1645
144	363	1641
145	365	1638
146	368	1635
147	369	1628
148	372	1626
149	374	1623
150	376	1619
151	379	1616
152	381	1612
153	382	1603
154	384	1600
155	386	1596
156	389	1593
157	391	1589
158	393	1586
159	395	1582
160	397	1579
161	400	1576
162	402	1573
163	405	1570
164	407	1567
165	409	1563
166	411	1560
167	413	1556
168	416	1553
169	418	1550
170	421	1548
171	423	1545
172	424	1539
173	426	1536
174	429	1532
175	430	1526
176	432	1523
177	435	1520
178	436	1513
179	439	1512
180	442	1511
181	444	1509
182	448	1512
183	451	1512
184	455	1512
185	458	1512
186	460	1509
187	463	1507
188	465	1505
189	468	1504
190	471	1502
191	473	1500
192	476	1499
193	479	1498
194	483	1498
195	484	1492
196	486	1490
197	489	1488
198	491	1485
199	494	1482
200	497	1482
201	500	1482
202	503	1480
203	505	1478
204	508	1476
205	510	1473
206	513	1471
207	515	1468
208	518	1466
209	521	1463
210	523	1460
211	525	1457
212	528	1455
213	530	1453
214	532	1450
215	535	1447
216	537	1444
217	540	1442
218	541	1437
219	544	1434
220	547	1433
221	549	1430
222	551	1427
223	554	1424
224	556	1422
225	558	1419
226	560	1416
227	563	1412
228	565	1409
229	567	1406
230	569	1403
231	572	1400
232	574	1397
233	576	1394
234	579	1392
235	581	1389
236	583	1385
237	585	1383
238	587	1380
239	590	1377
240	592	1374
241	594	1371
242	596	1366
243	598	1363
244	599	1358
245	601	1355
246	604	1352
247	606	1349
248	608	1347
249	611	1344
250	613	1341
251	615	1338
252	617	1336
253	620	1333
254	622	1330
255	624	1327
256	627	1324
257	629	1322
258	631	1319
259	633	1316
260	636	1313
261	638	1310
262	640	1308
263	642	1305
264	645	1302
265	647	1299
266	649	1297
267	652	1295
268	654	1292
269	656	1289
270	659	1286
271	661	1283
272	663	1281
273	666	1278
274	668	1275
275	670	1273
276	672	1270
277	675	1267
278	677	1264
279	679	1262
280	682	1260
281	684	1257
282	687	1255
283	689	1252
284	691	1249
285	693	1247
286	696	1244
287	698	1241
288	700	1238
289	702	1236
290	705	1233
291	707	1230
292	709	1228
293	712	1225
294	714	1222
295	716	1220
296	719	1217
297	721	1215
298	723	1212
299	725	1209
300	728	1207
301	730	1204
302	732	1201
303	735	1199
304	737	1196
305	739	1193
306	742	1191
307	744	1189
308	746	1186
309	749	1184
310	751	1181
311	754	1179
312	756	1177
313	758	1174
314	761	1172
315	763	1169
316	765	1166
317	768	1165
318	771	1163
319	773	1160
320	776	1158
321	778	1155
322	780	1152
323	782	1150
324	785	1147
325	787	1144
326	789	1142
327	792	1139
328	794	1137
329	795	1133
330	798	1131
331	800	1129
332	803	1126
333	805	1124
334	807	1121
335	810	1118
336	812	1116
337	814	1113
338	816	1110
339	819	1108
340	821	1105
341	823	1102
342	825	1100
343	828	1097
344	830	1095
345	832	1092
346	834	1089
347	837	1087
348	839	1085
349	842	1082
350	844	1080
351	847	1078
352	849	1075
353	852	1073
354	855	1072
355	857	1069
356	858	1065
357	861	1063
358	863	1061
359	866	1058
360	868	1056
361	871	1053
362	873	1051
363	875	1049
364	878	1046
365	880	1044
366	882	1041
367	884	1038
368	886	1035
369	889	1033
370	891	1030
371	893	1028
372	896	1025
373	898	1023
374	900	1020
375	903	1018
376	905	1015
377	907	1013
378	910	1011
379	912	1008
380	914	1005
381	917	1003
382	919	1000
383	921	998
384	923	995
385	925	993
386	926	989
387	929	986
388	932	985
389	934	982
390	936	979
391	938	977
392	941	974
393	943	972
394	946	969
395	948	967
396	950	965
397	953	962
398	955	960
399	957	957
400	960	955
401	962	952
402	964	950
403	965	946
404	967	944
405	970	941
406	972	939
407	974	936
408	977	934
409	979	931
410	981	929
411	984	926
412	986	924
413	988	921
414	990	919
415	993	917
416	996	914
417	998	912
418	1000	909
419	1003	907
